phrase,id,position,corresponding_text
It lay deep below that part of the buildingwhere I myself slept,326,13817," It lay deep below that part of the buildingwhere I myself slept.
"
The thick door was of iron,327,13883," The thick door was of iron,"
and because of itsgreat weight made a loud,328,13911," and because of itsgreat weight made a loud,"
hard sound when it was opened and closed,329,13955," hard sound when it was opened and closed.
"
As we placed the lady Madeline in this room of horror I saw forthe first time the great likeness between brother and sister,330,13998,"As we placed the lady Madeline in this room of horror I saw forthe first time the great likeness between brother and sister,"
and Ushertold me then that they were twins — they had been born on the sameday,331,14122," and Ushertold me then that they were twins — they had been born on the sameday.
"
For that reason the understanding between them had always beengreat,332,14203," For that reason the understanding between them had always beengreat,"
and the tie that held them together very strong,333,14272," and the tie that held them together very strong.
"
We looked down at the dead face one last time,334,14322,"We looked down at the dead face one last time,"
and I was filledwith wonder,335,14368," and I was filledwith wonder.
"
As she lay there,336,14398," As she lay there,"
the lady Madeline looked not dead butasleep — still soft and warm — though to the touch cold as the stonesaround us,337,14416," the lady Madeline looked not dead butasleep — still soft and warm — though to the touch cold as the stonesaround us.
"
Part Threei Was visiTing an old fRiendof mine,338,14534,"Part Threei Was visiTing an old fRiendof mine,"
Roderick Usher,339,14580," Roderick Usher,"
in hisold stone house,340,14596," in hisold stone house,"
his palace,341,14619," his palace,"
wherea feeling of death hung on the air,342,14631," wherea feeling of death hung on the air.
"
I saw how fear was pressing on hisheart and mind,343,14673,"I saw how fear was pressing on hisheart and mind.
"
Now his only sis-ter,344,14723," Now his only sis-ter,"
the lady Madeline,345,14745," the lady Madeline,"
had diedand we had put her body in itsresting place,346,14764," had diedand we had put her body in itsresting place,"
in a room inside thecold walls of the palace,347,14817," in a room inside thecold walls of the palace,"
a damp,348,14863," a damp,"
dark vault,349,14871,"dark vault,"
a fearful place,350,14882," a fearful place.
"
As welooked down upon her face,351,14900," As welooked down upon her face,"
I sawthat there was a strong likenessbetween the two,352,14932," I sawthat there was a strong likenessbetween the two.
"
“Indeed,353,14987," “Indeed,"
” saidUsher,354,14996,"” saidUsher,"
“we were born on the sameday,355,15008," “we were born on the sameday,"
and the tie between us hasalways been strong,356,15038," and the tie between us hasalways been strong.
"
”We did not long look down at her,357,15085,"”We did not long look down at her,"
for fear and wonder filled ourhearts,358,15119," for fear and wonder filled ourhearts.
"
There was still a little color in her face and there seemed to bea smile on her lips,359,15158," There was still a little color in her face and there seemed to bea smile on her lips.
"
We closed the heavy iron door and returned to therooms above,360,15245," We closed the heavy iron door and returned to therooms above,"
which were hardly less gloomy than the vault,361,15307," which were hardly less gloomy than the vault.
"
And now a change came in the sickness of my friend’s mind,362,15354,"And now a change came in the sickness of my friend’s mind.
"
Hewent from room to room with a hurried step,363,15413," Hewent from room to room with a hurried step.
"
His face was,364,15460," His face was,"
if possible,365,15474," if possible,"
whiter and more ghastly than before,366,15487,"whiter and more ghastly than before,"
and the light in his eyes hadgone,367,15523," and the light in his eyes hadgone.
"
The trembling in his voice seemed to show the greatest fear,368,15559," The trembling in his voice seemed to show the greatest fear.
"
At times he sat looking at nothing for hours,369,15621,"At times he sat looking at nothing for hours,"
as if listening to somesound I could not hear,370,15666," as if listening to somesound I could not hear.
"
I felt his condition,371,15714," I felt his condition,"
slowly but certainly,372,15736," slowly but certainly,"
gain-ing power over me,373,15758, gain-ing power over me;
I felt that his wild ideas were becoming fixed inmy own mind,374,15782," I felt that his wild ideas were becoming fixed inmy own mind.
"
As I was going to bed late in the night of the seventh or eighthday after we placed the lady Madeline within the vault,375,15845,"As I was going to bed late in the night of the seventh or eighthday after we placed the lady Madeline within the vault,"
I experiencedthe full power of such feelings,376,15964," I experiencedthe full power of such feelings.
"
Sleep did not come — while the hourspassed,377,16011," Sleep did not come — while the hourspassed.
"
My mind fought against the nervousness,378,16056," My mind fought against the nervousness.
"
I tried to believethat much,379,16097," I tried to believethat much,"
if not all,380,16126," if not all,"
of what I felt was due to the gloomy room,381,16138," of what I felt was due to the gloomy room,"
to thedark wall coverings,382,16181," to thedark wall coverings,"
which in a rising wind moved on the walls,383,16208," which in a rising wind moved on the walls.
"
Butmy efforts were useless,384,16252," Butmy efforts were useless.
"
