phrase,id,position,corresponding_text
Et un jour il me conseilla de m'appliquer à réussir un beau dessin,398,15689,"Et un jour il me conseilla de m'appliquer à réussir un beau dessin,"
pour bien faire entrer ça dans la tête des enfants de chez moi,399,15756, pour bien faire entrer ça dans la tête des enfants de chez moi.
´S'ils voyagent un jour,400,15820,"""S'ils voyagent un jour,"
me disait-il,401,15844," me disait-il,"
ça pourra leur servir,402,15858, ça pourra leur servir.
Il est quelquefois sans inconvénient de remettre à plus tard son travail,403,15881, Il est quelquefois sans inconvénient de remettre à plus tard son travail.
Mais,404,15955," Mais,"
s'il s'agit des baobabs,405,15961," s'il s'agit des baobabs,"
c'est toujours une catastrophe,406,15986, c'est toujours une catastrophe.
J'ai connu une planète,407,16018," J'ai connu une planète,"
habitée par un paresseux,408,16042, habitée par un paresseux.
Il avait négligé trois arbustes...´,409,16068," Il avait négligé trois arbustes...""

"
Et,410,16106,"Et,"
sur les indications du petit prince,411,16109," sur les indications du petit prince,"
j'ai dessiné cette planète-là,412,16146, j'ai dessiné cette planète-là.
Je n'aime guère prendre le ton d'un moraliste,413,16177, Je n'aime guère prendre le ton d'un moraliste.
Mais le danger des baobabs est si peu connu,414,16224," Mais le danger des baobabs est si peu connu,"
et les risques courus par celui qui s'égarerait dans un astéroïde sont si considérables,415,16269," et les risques courus par celui qui s'égarerait dans un astéroïde sont si considérables,"
que,416,16358," que,"
pour une fois,417,16363," pour une fois,"
je fais exception à ma réserve,418,16378, je fais exception à ma réserve.
Je dis:´Enfants 1 Faites attention aux baobabs 1´C'est pour avertir mes amis d'un danger qu'ils frôlaient depuis longtemps,419,16410," Je dis:""Enfants 1 Faites attention aux baobabs 1""C'est pour avertir mes amis d'un danger qu'ils frôlaient depuis longtemps,"
comme moi-même,420,16534," comme moi-même,"
sans le connaître,421,16550," sans le connaître,"
que j'ai tant travaillé ce dessin-là,422,16569, que j'ai tant travaillé ce dessin-là.
La leçon que je donnais en valait la peine,423,16607, La leçon que je donnais en valait la peine.
Vous vous demanderez peut-être : Pourquoi n'y a-t-il pas,424,16651," Vous vous demanderez peut-être : Pourquoi n'y a-t-il pas,"
dans ce livre,425,16709," dans ce livre,"
d'autres dessins aussi grandioses que le dessin des baobabs ? La réponse est bien simple : J'ai essayé mais je n'ai pas pu réussir,426,16724, d'autres dessins aussi grandioses que le dessin des baobabs ? La réponse est bien simple : J'ai essayé mais je n'ai pas pu réussir.
